JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
121,86,5,10/17/2025,homepage,Click,33
122,96,19,10/22/2025,ProductPage,Click,201
123,59,15,4/10/2024,Homepage,View,93
124,10,8,7/27/2024,ProductPage,View,262
125,67,19,6/7/2025,Checkout,Drop-off,NULL
126,39,4,1/14/2025,Homepage,Click,142
127,5,4,12/11/2023,Homepage,View,287
128,34,8,7/3/2023,Homepage,Click,13
129,91,20,7/5/2025,Homepage,Click,283
130,41,13,9/7/2024,Homepage,Click,73
131,98,13,1/9/2025,Homepage,View,15
132,68,14,6/17/2023,productpage,View,56
133,46,20,6/20/2024,Homepage,View,74
134,40,9,12/14/2023,Homepage,Click,34
135,52,20,5/3/2025,ProductPage,Click,168
136,77,2,5/29/2024,Homepage,View,129
137,40,6,2/7/2023,ProductPage,View,85
138,26,18,5/11/2025,ProductPage,View,172
139,24,5,11/13/2025,Homepage,View,248
140,11,12,1/26/2024,checkout,Drop-off,NULL
141,57,7,7/1/2024,ProductPage,View,15
142,53,14,5/31/2024,Homepage,Click,10
143,95,17,3/13/2025,Homepage,Click,262
144,95,12,9/17/2025,Homepage,Click,179
145,60,19,10/21/2025,Homepage,Click,62
146,86,1,12/7/2025,Homepage,View,208
147,86,18,4/21/2023,Homepage,View,294
148,15,3,10/22/2025,ProductPage,View,185
149,93,7,5/27/2024,ProductPage,View,18
150,58,16,4/20/2024,Homepage,Click,263
151,79,20,11/4/2023,checkout,Purchase,298
152,85,5,7/2/2024,Checkout,Drop-off,NULL
153,39,19,9/19/2025,homepage,Click,253
154,85,20,8/4/2023,Homepage,View,22
155,82,2,5/12/2023,Homepage,View,195
156,26,3,10/18/2024,checkout,Drop-off,NULL
157,96,20,9/10/2025,Homepage,View,86
158,17,18,11/19/2025,Homepage,Click,97
159,36,7,3/21/2024,ProductPage,Click,160
160,83,12,12/20/2025,Checkout,Purchase,240
161,17,19,1/15/2025,ProductPage,View,50
162,52,10,3/30/2024,ProductPage,View,139
163,49,2,2/20/2024,Homepage,View,101
164,90,9,10/19/2025,Homepage,Click,226
165,93,15,9/18/2024,Homepage,Click,169
166,44,13,9/27/2024,Checkout,Purchase,141
167,8,4,2/18/2023,ProductPage,View,133
168,88,17,4/3/2023,ProductPage,View,274
169,40,19,3/3/2023,homepage,View,255
170,98,13,10/20/2025,ProductPage,View,33
171,29,2,9/9/2023,Homepage,Click,287
172,33,8,10/30/2023,ProductPage,Click,212
173,64,5,8/28/2024,ProductPage,Click,231
174,62,7,12/12/2024,Homepage,Click,299
175,82,16,10/17/2025,Checkout,Purchase,291
176,80,6,5/12/2023,Checkout,Drop-off,NULL
177,5,17,3/6/2024,ProductPage,View,237
178,93,10,2/3/2023,Homepage,View,100
179,99,5,6/2/2025,productpage,View,187
180,54,17,11/26/2024,Homepage,View,110
181,44,20,5/19/2025,Checkout,Drop-off,NULL
182,33,13,4/22/2025,ProductPage,View,248
183,54,16,8/21/2024,ProductPage,View,129
184,7,11,9/30/2024,ProductPage,View,250
185,27,6,12/29/2023,ProductPage,View,165
186,25,2,1/4/2024,ProductPage,View,287
187,51,14,9/22/2025,Checkout,Drop-off,NULL
188,94,2,1/27/2025,Homepage,View,21
189,57,8,8/20/2023,Checkout,Drop-off,NULL
190,90,18,2/14/2024,Homepage,View,257
191,40,10,7/19/2023,homepage,Click,100
192,82,3,3/31/2023,Checkout,Purchase,118
193,88,13,9/22/2025,Homepage,Click,121
194,13,11,4/27/2025,Homepage,View,54
195,8,4,8/12/2025,Homepage,Click,16
196,25,8,8/23/2025,ProductPage,Click,25
197,29,9,10/7/2024,ProductPage,Click,295
198,70,8,12/23/2025,Homepage,View,275
199,43,11,2/2/2024,ProductPage,View,17
200,83,18,2/24/2024,ProductPage,View,78
201,75,10,4/25/2025,Checkout,Drop-off,NULL
202,87,12,4/22/2023,ProductPage,View,145
203,44,11,12/28/2024,Homepage,View,230
204,99,20,9/1/2025,Homepage,Click,21
205,41,19,3/3/2023,homepage,View,282
206,39,5,4/21/2023,ProductPage,View,118
207,46,3,2/2/2023,Homepage,Click,224
208,43,4,12/30/2023,ProductPage,Drop-off,NULL
209,36,12,10/8/2025,ProductPage,View,246
210,63,7,9/7/2023,Checkout,Drop-off,NULL
211,54,9,4/19/2024,ProductPage,View,255
212,99,15,3/3/2025,Homepage,View,269
213,54,3,3/7/2025,ProductPage,View,145
214,33,9,1/10/2023,productpage,View,200
215,71,7,6/8/2024,Checkout,Drop-off,NULL
216,33,6,1/5/2023,Checkout,Drop-off,NULL
217,82,16,8/26/2023,Homepage,View,118
218,19,3,5/4/2025,Homepage,View,155
219,15,10,12/29/2024,Homepage,Click,280
220,43,5,7/11/2024,ProductPage,Click,235
221,52,12,8/19/2025,Homepage,View,213
222,66,15,3/2/2024,Homepage,View,227
223,53,1,3/7/2024,ProductPage,View,184
224,84,10,3/21/2025,Checkout,Drop-off,NULL
225,12,10,11/27/2023,ProductPage,View,163
226,72,20,6/3/2023,Homepage,Click,206
227,7,6,5/1/2024,productpage,Click,171
228,40,6,1/15/2023,Homepage,Click,174
229,16,17,1/30/2025,ProductPage,Drop-off,NULL
230,78,20,11/13/2025,ProductPage,View,176
231,61,12,7/31/2025,Homepage,View,206
232,81,2,6/28/2025,Checkout,Drop-off,NULL
233,92,15,5/11/2023,ProductPage,View,252
234,54,20,2/2/2025,ProductPage,View,191
235,33,7,1/25/2024,ProductPage,View,109
236,10,11,7/27/2025,Homepage,Click,209
237,29,4,6/26/2023,Homepage,Click,260
238,93,14,8/29/2025,Homepage,View,153
239,60,13,4/28/2024,Checkout,Drop-off,NULL
240,15,9,9/16/2023,Homepage,Click,103
241,63,18,6/17/2024,Checkout,Purchase,101
242,76,3,1/31/2023,Homepage,View,23
243,82,9,4/20/2024,Homepage,Click,255
244,3,5,4/24/2025,ProductPage,Click,187
245,69,20,4/6/2024,ProductPage,Click,283
246,90,4,8/10/2024,ProductPage,Click,154
247,26,9,10/26/2023,Homepage,View,97
248,35,20,2/23/2024,Homepage,Click,46
249,58,7,7/21/2023,Homepage,View,133
250,81,13,10/12/2025,ProductPage,View,209
251,13,6,12/10/2023,Homepage,View,102
252,87,19,1/13/2023,Homepage,View,208
253,71,11,1/7/2023,Homepage,Click,279
254,12,12,2/9/2025,Homepage,Click,255
255,95,9,9/19/2024,ProductPage,Click,239
256,32,8,6/4/2025,ProductPage,Click,59
257,30,20,10/7/2024,productpage,Click,163
258,34,5,11/13/2023,Homepage,View,146
259,92,14,10/12/2024,Homepage,Click,16
260,100,17,7/15/2025,Homepage,View,265
261,23,5,10/7/2025,Homepage,View,239
262,52,16,10/7/2023,ProductPage,View,53
263,94,8,3/9/2024,ProductPage,View,185
264,3,2,9/5/2024,ProductPage,View,222
265,99,16,3/9/2023,Homepage,Click,235
266,57,9,2/11/2024,Homepage,View,185
267,6,7,4/17/2025,Checkout,Drop-off,NULL
268,67,8,2/2/2025,Homepage,View,285
269,9,7,11/14/2025,homepage,Click,16
270,66,9,6/22/2023,Checkout,Purchase,296
271,20,4,8/19/2025,Checkout,Drop-off,NULL
272,17,10,8/3/2023,checkout,Drop-off,NULL
273,87,1,3/22/2025,Checkout,Drop-off,NULL
274,95,19,9/28/2023,checkout,Drop-off,NULL
275,88,13,11/5/2023,Checkout,Drop-off,NULL
276,27,19,11/22/2023,Checkout,Drop-off,NULL
277,63,12,10/6/2025,ProductPage,View,300
278,78,8,1/7/2024,ProductPage,View,125
279,97,1,2/25/2025,Checkout,Drop-off,NULL
280,69,15,9/17/2023,Homepage,Click,223
281,10,4,1/6/2025,Homepage,View,236
282,67,12,7/10/2024,Homepage,View,256
283,90,14,1/5/2025,productpage,View,106
284,88,7,9/25/2023,Homepage,Click,278
285,58,4,6/11/2024,Checkout,Purchase,269
286,51,19,8/1/2023,Homepage,View,243
287,100,13,1/12/2023,Checkout,Drop-off,NULL
288,6,1,4/11/2023,Homepage,Click,128
289,90,12,8/15/2025,Checkout,Purchase,148
290,49,20,4/13/2023,Checkout,Drop-off,NULL
291,32,6,11/2/2023,homepage,Click,264
292,39,15,6/4/2023,ProductPage,Click,201
293,18,19,9/8/2023,ProductPage,Click,77
294,41,5,7/31/2023,Homepage,Click,121
295,92,19,3/28/2023,Checkout,Purchase,220
296,50,4,10/14/2024,Checkout,Drop-off,NULL
297,74,4,3/4/2024,homepage,Click,163
298,84,10,12/19/2024,Checkout,Purchase,80
299,7,9,10/27/2025,Homepage,View,195
300,91,16,9/20/2023,Checkout,Drop-off,NULL
301,84,3,1/15/2023,ProductPage,View,148
302,14,10,8/16/2023,Checkout,Drop-off,NULL
303,80,9,5/24/2024,Homepage,View,212
304,91,12,5/6/2023,ProductPage,View,43
305,74,20,9/4/2025,ProductPage,View,41
306,71,2,7/14/2023,Homepage,Click,179
307,85,11,2/16/2025,ProductPage,Click,209
308,80,12,3/12/2025,homepage,Click,178
309,38,11,8/16/2024,ProductPage,Click,176
310,73,18,11/4/2023,ProductPage,Click,216
311,33,19,2/10/2024,ProductPage,Click,67
312,9,11,5/15/2023,Checkout,Purchase,165
313,85,5,10/7/2023,ProductPage,View,140
314,75,11,12/29/2024,Homepage,View,297
315,21,6,11/5/2023,Homepage,Click,74
316,91,19,11/12/2025,homepage,Click,260
317,13,6,3/22/2023,Homepage,View,88
318,13,4,2/1/2025,Homepage,View,221
319,64,10,7/17/2025,Homepage,View,99
320,94,8,11/29/2025,Checkout,Drop-off,NULL
321,10,3,11/24/2024,Checkout,Drop-off,NULL
322,22,18,5/25/2024,ProductPage,View,18
323,44,19,4/8/2025,Homepage,View,254
324,77,9,3/6/2025,ProductPage,View,275
325,47,7,1/31/2023,Checkout,Drop-off,NULL
326,79,19,11/30/2024,Homepage,View,69
327,11,14,4/29/2024,Homepage,View,204
328,46,16,12/22/2024,ProductPage,View,52
329,88,15,2/24/2023,Homepage,Click,221
330,3,14,4/11/2024,Checkout,Purchase,249
331,2,8,5/7/2025,productpage,View,128
332,68,6,2/26/2025,Homepage,View,111
333,42,7,5/15/2024,Homepage,Click,217
334,43,18,9/24/2024,Homepage,Click,160
335,93,16,9/22/2024,ProductPage,Click,248
336,74,11,3/8/2025,Homepage,Click,237
337,71,1,11/19/2024,Homepage,Click,94
338,51,3,6/18/2024,ProductPage,Click,288
339,37,6,11/7/2024,ProductPage,Drop-off,NULL
340,63,20,5/22/2025,ProductPage,View,98
341,79,11,2/12/2025,Homepage,View,16
342,23,17,6/19/2024,ProductPage,View,109
343,50,12,7/7/2025,Checkout,Drop-off,NULL
344,77,1,4/5/2025,Homepage,View,14
345,27,6,12/22/2024,Checkout,Drop-off,NULL
346,68,11,6/12/2024,Homepage,Click,284
347,76,16,6/23/2024,ProductPage,Click,117
348,10,5,1/27/2025,Homepage,View,144
349,89,4,12/15/2023,ProductPage,View,193
350,99,18,2/18/2025,ProductPage,View,103
351,65,16,6/19/2023,Homepage,View,18
352,98,7,9/1/2025,ProductPage,View,165
353,19,10,7/13/2024,Homepage,View,60
354,34,3,2/21/2023,Homepage,Click,110
355,97,4,2/18/2025,Homepage,Click,22
356,65,18,1/26/2024,Homepage,View,234
357,11,13,4/2/2025,Homepage,View,174
358,62,11,8/9/2023,Homepage,Click,191
359,2,17,3/16/2024,Homepage,View,141
360,63,18,8/28/2023,Homepage,Click,270
361,96,9,10/30/2025,ProductPage,Drop-off,NULL
362,82,10,5/29/2023,Homepage,View,300
363,80,10,4/7/2023,ProductPage,View,123
364,48,16,9/24/2025,Homepage,View,30
365,6,5,6/4/2023,Checkout,Drop-off,NULL
366,37,2,9/8/2025,Checkout,Drop-off,NULL
367,61,18,3/4/2023,Homepage,View,272
368,26,10,4/28/2025,ProductPage,View,217
369,89,4,3/22/2023,ProductPage,View,192
370,15,15,7/25/2025,ProductPage,View,173
371,71,11,9/28/2023,ProductPage,View,227
372,76,16,1/15/2023,homepage,View,231
373,51,19,4/9/2024,Homepage,Click,219
374,67,13,8/29/2023,ProductPage,Click,114
375,23,2,3/8/2025,Checkout,Purchase,125
376,40,1,5/23/2025,productpage,View,216
377,86,10,6/25/2025,ProductPage,View,99
378,60,1,11/2/2023,ProductPage,View,124
379,92,15,11/25/2024,Checkout,Drop-off,NULL
380,1,11,5/29/2023,Checkout,Drop-off,NULL
381,2,3,3/23/2024,ProductPage,View,187
382,92,19,6/5/2025,ProductPage,View,260
383,55,6,1/3/2023,productpage,View,72
384,2,12,9/24/2024,Checkout,Drop-off,NULL
385,90,2,4/15/2025,ProductPage,View,189
386,37,6,7/31/2023,ProductPage,View,168
387,22,4,12/19/2024,Checkout,Drop-off,NULL
388,40,11,12/2/2024,Homepage,View,11
389,63,4,4/14/2023,ProductPage,View,276
390,74,7,7/16/2023,Checkout,Drop-off,NULL
391,74,13,4/20/2025,Checkout,Drop-off,NULL
392,50,13,3/16/2024,ProductPage,View,50
393,14,5,5/26/2024,ProductPage,View,120
394,39,5,4/16/2025,ProductPage,View,143
395,73,10,8/19/2025,Homepage,View,59
396,62,9,3/14/2023,ProductPage,View,238
397,54,15,3/17/2023,Homepage,Click,239
398,86,17,3/4/2025,Homepage,View,290
399,26,2,8/3/2025,ProductPage,View,108
400,28,12,5/30/2024,Homepage,View,45
401,86,20,4/4/2025,ProductPage,View,203
402,42,4,11/24/2024,Homepage,View,278
403,47,2,3/21/2023,ProductPage,View,112
404,30,13,4/22/2023,Homepage,View,112
405,97,7,8/21/2024,ProductPage,View,40
406,27,7,5/9/2025,ProductPage,View,107
407,79,6,2/26/2024,Homepage,Click,35
408,36,15,1/31/2024,Homepage,Click,182
409,90,17,6/28/2025,Homepage,Click,44
410,71,12,9/13/2023,Homepage,View,38
411,74,19,2/8/2023,Homepage,Click,231
412,3,20,8/8/2025,ProductPage,Click,74
413,29,5,7/9/2023,ProductPage,Click,235
414,24,15,5/6/2025,ProductPage,Drop-off,NULL
415,56,2,10/26/2023,Homepage,View,35
416,34,6,9/24/2025,ProductPage,View,151
417,50,12,2/4/2024,Homepage,View,205
418,97,8,5/4/2024,Checkout,Drop-off,NULL
419,52,7,11/6/2023,Checkout,Drop-off,NULL
420,25,16,9/4/2023,Homepage,Click,204
421,25,2,10/22/2023,ProductPage,Click,269
422,87,6,10/4/2024,Homepage,View,263
423,26,15,6/12/2023,Homepage,Click,121
424,94,10,8/14/2023,Checkout,Purchase,164
425,60,16,11/21/2024,Homepage,Click,287
426,60,20,2/26/2025,ProductPage,Click,158
427,98,2,2/8/2023,Homepage,View,262
428,48,12,12/4/2025,Homepage,View,242
429,100,15,4/2/2023,homepage,Click,97
430,7,20,1/19/2025,ProductPage,Click,63
431,66,12,8/30/2025,ProductPage,Click,229
432,73,3,8/22/2023,ProductPage,Click,27
433,20,18,11/27/2025,ProductPage,Click,205
434,46,4,9/29/2023,Homepage,View,94
435,45,8,12/20/2024,ProductPage,View,134
436,91,20,5/15/2024,ProductPage,View,206
437,43,14,6/8/2025,Homepage,Click,164
438,73,10,11/10/2024,Homepage,Click,45
439,87,12,2/29/2024,Homepage,View,252
440,2,7,10/12/2025,ProductPage,View,187
441,3,5,5/23/2023,ProductPage,View,51
442,74,13,10/25/2023,Homepage,View,164
443,98,5,9/4/2023,Checkout,Drop-off,NULL
444,76,18,1/27/2025,Homepage,Click,220
445,4,3,5/9/2025,ProductPage,Click,235
446,92,13,4/4/2024,Homepage,Click,108
447,64,11,1/15/2024,Checkout,Purchase,65
448,27,4,9/30/2023,ProductPage,View,279
449,15,8,4/10/2025,ProductPage,View,83
450,68,16,11/2/2023,ProductPage,View,20
451,17,14,11/27/2025,Homepage,View,142
452,86,4,10/7/2024,Checkout,Drop-off,NULL
453,49,17,2/13/2023,Homepage,View,188
454,93,3,6/1/2023,Homepage,View,268
455,79,10,4/13/2025,ProductPage,View,126
456,93,20,9/9/2023,Checkout,Drop-off,NULL
457,33,19,9/29/2023,Homepage,Click,71
458,94,2,1/20/2025,Checkout,Purchase,192
459,58,7,10/12/2024,Homepage,View,159
460,45,3,2/17/2023,Homepage,Click,96
461,19,5,9/5/2024,Checkout,Purchase,176
462,59,6,4/14/2025,ProductPage,View,199
463,32,17,2/3/2023,ProductPage,View,185
464,32,1,10/10/2023,ProductPage,View,153
465,27,1,8/26/2025,ProductPage,View,228
466,35,20,7/29/2025,ProductPage,View,200
467,32,3,10/14/2025,ProductPage,View,37
468,3,19,6/25/2025,Homepage,View,215
469,18,16,11/27/2025,ProductPage,View,33
470,76,16,1/23/2024,Homepage,Click,28
471,14,16,2/1/2024,ProductPage,Click,10
472,28,14,3/9/2025,ProductPage,Click,94
473,76,2,3/21/2025,ProductPage,Click,168
474,59,3,3/24/2023,ProductPage,Click,72
475,91,6,2/13/2025,Homepage,Click,90
476,80,4,8/22/2024,Homepage,Click,41
477,94,11,4/10/2025,ProductPage,Click,56
478,80,7,8/27/2025,productpage,Click,225
479,63,17,1/17/2023,ProductPage,Click,296
480,30,12,10/23/2025,Homepage,Click,29
481,43,7,6/17/2025,ProductPage,Click,261
482,72,4,12/14/2025,ProductPage,Click,126
483,86,17,10/2/2024,Homepage,View,153
484,98,7,8/30/2023,Homepage,Click,222
485,100,4,3/5/2023,ProductPage,Click,101
486,91,16,6/17/2023,Homepage,View,226
487,35,19,5/7/2023,Checkout,Drop-off,NULL
488,72,16,8/21/2023,Checkout,Drop-off,NULL
489,57,16,3/23/2024,Homepage,View,266
490,53,13,3/28/2025,ProductPage,View,108
491,77,19,5/14/2023,Checkout,Drop-off,NULL
492,69,20,5/16/2025,productpage,View,186
493,32,7,4/23/2024,Checkout,Drop-off,NULL
494,29,6,10/27/2024,Checkout,Drop-off,NULL
495,43,2,2/4/2023,Checkout,Drop-off,NULL
496,76,20,12/8/2024,homepage,Click,66
497,55,15,5/18/2024,Homepage,View,83
498,33,20,9/21/2024,Checkout,Drop-off,NULL
499,95,18,1/24/2024,ProductPage,View,112
500,29,8,7/31/2025,Homepage,Click,277
501,57,17,10/19/2023,Homepage,View,14
502,10,3,8/19/2023,ProductPage,View,134
503,35,9,2/18/2023,homepage,Click,239
504,4,13,2/8/2025,Homepage,Click,281
505,15,11,2/16/2023,Homepage,Click,167
506,100,17,8/20/2023,Homepage,View,69
507,90,17,1/2/2025,ProductPage,View,259
508,48,15,9/13/2024,ProductPage,View,64
509,42,16,11/27/2025,ProductPage,View,53
510,14,14,12/21/2023,Checkout,Drop-off,NULL
511,65,3,5/23/2025,ProductPage,View,40
512,67,11,11/4/2025,Homepage,Click,229
513,91,17,4/18/2024,ProductPage,Click,195
514,24,3,6/18/2024,productpage,Click,38
515,49,3,5/23/2025,Homepage,View,231
516,14,15,9/26/2023,Checkout,Drop-off,NULL
517,55,10,1/7/2025,Homepage,View,19
518,89,12,7/9/2023,Homepage,View,56
519,99,1,3/14/2024,ProductPage,View,206
520,42,16,7/13/2025,Checkout,Drop-off,NULL
521,12,13,3/25/2024,Checkout,Drop-off,NULL
522,78,19,6/15/2023,Homepage,View,101
523,85,2,10/8/2025,Homepage,Click,240
524,34,13,4/12/2023,Homepage,View,65
525,34,10,7/24/2023,ProductPage,View,61
526,87,9,5/17/2025,Checkout,Drop-off,NULL
527,66,14,6/20/2025,ProductPage,View,33
528,38,6,11/19/2024,ProductPage,View,156
529,83,14,9/20/2025,ProductPage,View,173
530,76,8,3/6/2023,Homepage,View,159
531,20,3,5/22/2025,Homepage,Click,264
532,98,12,6/11/2023,ProductPage,Click,278
533,33,11,1/29/2023,Checkout,Purchase,84
534,59,7,1/16/2025,Homepage,Click,224
535,4,7,3/31/2025,Homepage,View,135
536,55,17,6/30/2025,ProductPage,View,272
537,52,6,4/1/2025,productpage,View,291
538,25,9,4/11/2024,Homepage,View,232
539,18,1,2/27/2023,productpage,View,139
540,28,6,5/27/2024,Homepage,Click,122
541,70,1,11/12/2023,Checkout,Purchase,194
542,43,2,5/2/2023,Homepage,View,16
543,7,7,6/26/2024,Checkout,Drop-off,NULL
544,58,3,4/20/2024,ProductPage,View,89
545,81,19,2/24/2024,Homepage,View,248
546,77,2,3/21/2025,Homepage,View,257
547,15,7,5/24/2023,ProductPage,View,13
548,84,17,4/9/2023,Homepage,View,254
549,50,4,8/18/2023,Homepage,View,110
550,77,14,6/14/2025,Checkout,Drop-off,NULL
551,94,11,6/22/2023,Homepage,Click,115
552,93,7,10/27/2023,Homepage,Click,146
553,39,16,5/18/2024,Homepage,Click,119
554,95,7,3/17/2023,Homepage,View,266
555,53,5,9/14/2023,Homepage,View,247
556,97,12,8/15/2024,ProductPage,View,111
557,8,12,7/16/2025,Checkout,Drop-off,NULL
558,42,17,3/31/2024,Checkout,Drop-off,NULL
559,88,7,12/11/2025,Checkout,Drop-off,NULL
560,53,8,12/5/2024,ProductPage,View,129
561,1,20,7/4/2025,Homepage,Click,225
562,17,20,2/4/2024,Homepage,Click,46
563,65,20,8/18/2023,ProductPage,Click,283
564,19,16,6/2/2025,ProductPage,Click,252
565,26,2,11/16/2023,Homepage,Click,64
566,25,12,9/27/2025,Checkout,Purchase,188
567,97,10,9/2/2025,homepage,View,105
568,95,3,7/25/2023,Homepage,View,155
569,4,9,5/9/2025,ProductPage,View,54
570,29,5,11/25/2025,ProductPage,View,193
571,10,15,1/5/2025,Homepage,View,48
572,36,20,3/7/2024,Homepage,View,26
573,50,13,5/19/2024,Checkout,Drop-off,NULL
574,69,6,10/5/2023,Homepage,View,56
575,98,20,1/30/2023,Homepage,Click,72
576,97,17,8/13/2025,ProductPage,Click,68
577,1,1,12/17/2025,Homepage,Click,115
578,84,18,4/17/2025,Checkout,Purchase,109
579,76,6,2/18/2024,homepage,View,55
580,90,16,1/4/2025,Homepage,Click,237
581,99,9,2/11/2023,ProductPage,Click,48
582,59,2,6/6/2024,ProductPage,Click,61
583,73,15,10/24/2023,Homepage,View,96
584,75,7,3/19/2023,Homepage,View,167
585,2,9,1/12/2023,Homepage,View,250
586,68,5,8/6/2024,Homepage,View,214
587,73,20,1/19/2025,Homepage,Click,210
588,49,4,9/28/2025,Checkout,Purchase,178
589,93,11,11/11/2024,Homepage,View,190
590,34,10,5/25/2024,Homepage,View,124
591,52,6,6/29/2023,Homepage,Click,171
